Fit_Index,sim_model,k_split,separation,N,de,model,Class_2,Class_3,Class_4,Class_5,Class_6,Total,p,m
VLMR,p3m1,uneven,ideal,200,0.9,complex,11,8,18,45,19,261,p3,m1
VLMR,p3m1,uneven,ideal,200,0.405,complex,8,7,20,46,20,306,p3,m1
VLMR,p3m1,uneven,ideal,500,1.5,complex,7,1,1,65,26,365,p3,m1
VLMR,p3m1,uneven,ideal,500,0.9,complex,4,1,2,64,30,395,p3,m1
VLMR,p3m1,uneven,ideal,500,0.405,complex,3,0,0,74,23,390,p3,m1
VLMR,p3m1,uneven,ideal,1000,1.5,complex,3,0,0,69,28,427,p3,m1
VLMR,p3m1,uneven,ideal,1000,0.9,complex,1,0,0,77,21,415,p3,m1
VLMR,p3m1,uneven,ideal,1000,0.405,complex,0,0,0,75,25,421,p3,m1
VLMR,p3m1,uneven,ideal,5000,1.5,complex,1,0,0,31,67,478,p3,m1
VLMR,p3m1,uneven,ideal,5000,0.9,complex,0,0,0,75,25,467,p3,m1
VLMR,p3m1,uneven,ideal,5000,0.405,complex,0,0,0,81,19,457,p3,m1
aBIC,p3m1,even,ideal,200,1.5,complex,0,0,0,67,33,265,p3,m1
aBIC,p3m1,even,ideal,200,0.9,complex,0,0,0,69,31,262,p3,m1
aBIC,p3m1,even,ideal,200,0.405,complex,0,0,0,73,27,275,p3,m1
aBIC,p3m1,even,ideal,500,1.5,complex,0,0,0,96,4,386,p3,m1
aBIC,p3m1,even,ideal,500,0.9,complex,0,0,0,98,2,390,p3,m1
aBIC,p3m1,even,ideal,500,0.405,complex,0,0,0,99,1,400,p3,m1
aBIC,p3m1,even,ideal,1000,1.5,complex,0,0,0,98,2,403,p3,m1
aBIC,p3m1,even,ideal,1000,0.9,complex,0,0,0,100,0,423,p3,m1
aBIC,p3m1,even,ideal,1000,0.405,complex,0,0,0,100,0,420,p3,m1
aBIC,p3m1,even,ideal,5000,1.5,complex,0,0,0,75,25,486,p3,m1
aBIC,p3m1,even,ideal,5000,0.9,complex,0,0,0,100,0,472,p3,m1
aBIC,p3m1,even,ideal,5000,0.405,complex,0,0,0,100,0,457,p3,m1
aBIC,p3m1,uneven,ideal,200,1.5,complex,0,0,0,65,35,244,p3,m1
aBIC,p3m1,uneven,ideal,200,0.9,complex,0,0,0,77,23,261,p3,m1
aBIC,p3m1,uneven,ideal,200,0.405,complex,0,0,0,78,22,306,p3,m1
aBIC,p3m1,uneven,ideal,500,1.5,complex,0,0,0,96,4,365,p3,m1
aBIC,p3m1,uneven,ideal,500,0.9,complex,0,0,0,99,1,395,p3,m1
aBIC,p3m1,uneven,ideal,500,0.405,complex,0,0,0,98,2,390,p3,m1
aBIC,p3m1,uneven,ideal,1000,1.5,complex,0,0,0,97,3,427,p3,m1
aBIC,p3m1,uneven,ideal,1000,0.9,complex,0,0,0,100,0,415,p3,m1
aBIC,p3m1,uneven,ideal,1000,0.405,complex,0,0,0,100,0,421,p3,m1
aBIC,p3m1,uneven,ideal,5000,1.5,complex,0,0,0,67,33,478,p3,m1
aBIC,p3m1,uneven,ideal,5000,0.9,complex,0,0,0,100,0,467,p3,m1
aBIC,p3m1,uneven,ideal,5000,0.405,complex,0,0,0,100,0,457,p3,m1
cmPk,p3m1,even,ideal,200,1.5,complex,0,1,21,78,0,265,p3,m1
cmPk,p3m1,even,ideal,200,0.9,complex,0,0,15,85,0,262,p3,m1
cmPk,p3m1,even,ideal,200,0.405,complex,0,0,11,89,0,275,p3,m1
cmPk,p3m1,even,ideal,500,1.5,complex,0,0,0,100,0,386,p3,m1
cmPk,p3m1,even,ideal,500,0.9,complex,0,0,0,100,0,390,p3,m1
cmPk,p3m1,even,ideal,500,0.405,complex,0,0,0,100,0,400,p3,m1
cmPk,p3m1,even,ideal,1000,1.5,complex,0,0,0,100,0,403,p3,m1
cmPk,p3m1,even,ideal,1000,0.9,complex,0,0,0,100,0,423,p3,m1
cmPk,p3m1,even,ideal,1000,0.405,complex,0,0,0,100,0,420,p3,m1
cmPk,p3m1,even,ideal,5000,1.5,complex,0,0,0,100,0,486,p3,m1
cmPk,p3m1,even,ideal,5000,0.9,complex,0,0,0,100,0,472,p3,m1
cmPk,p3m1,even,ideal,5000,0.405,complex,0,0,0,100,0,457,p3,m1
cmPk,p3m1,uneven,ideal,200,1.5,complex,0,0,51,48,0,244,p3,m1
cmPk,p3m1,uneven,ideal,200,0.9,complex,0,0,46,54,0,261,p3,m1
cmPk,p3m1,uneven,ideal,200,0.405,complex,0,0,48,52,0,306,p3,m1
cmPk,p3m1,uneven,ideal,500,1.5,complex,0,0,0,100,0,365,p3,m1
cmPk,p3m1,uneven,ideal,500,0.9,complex,0,0,0,100,0,395,p3,m1
cmPk,p3m1,uneven,ideal,500,0.405,complex,0,0,0,100,0,390,p3,m1
cmPk,p3m1,uneven,ideal,1000,1.5,complex,0,0,0,100,0,427,p3,m1
cmPk,p3m1,uneven,ideal,1000,0.9,complex,0,0,0,100,0,415,p3,m1
cmPk,p3m1,uneven,ideal,1000,0.405,complex,0,0,0,100,0,421,p3,m1
cmPk,p3m1,uneven,ideal,5000,1.5,complex,0,0,0,100,0,478,p3,m1
cmPk,p3m1,uneven,ideal,5000,0.9,complex,0,0,0,100,0,467,p3,m1
cmPk,p3m1,uneven,ideal,5000,0.405,complex,0,0,0,100,0,457,p3,m1
AWE,p3m2,even,ideal,200,1.5,complex,7,92,0,0,0,219,p3,m2
AWE,p3m2,even,ideal,200,0.9,complex,11,88,0,0,0,223,p3,m2
AWE,p3m2,even,ideal,200,0.405,complex,14,84,2,0,0,221,p3,m2
AWE,p3m2,even,ideal,500,1.5,complex,0,0,66,34,0,337,p3,m2
AWE,p3m2,even,ideal,500,0.9,complex,0,0,30,70,0,349,p3,m2
