Fit_Index,sim_model,k_split,separation,N,de,model,Class_2,Class_3,Class_4,Class_5,Total,p,m
BIC,p3m3,even,ideal,1000,1.5,simple,0,0,100,0,303,p3,m3
BIC,p3m3,even,ideal,1000,0.9,simple,0,0,100,0,289,p3,m3
BIC,p3m3,even,ideal,1000,0.405,simple,0,0,100,0,303,p3,m3
BIC,p3m3,even,ideal,5000,1.5,simple,0,0,100,0,428,p3,m3
BIC,p3m3,even,ideal,5000,0.9,simple,0,0,100,0,415,p3,m3
BIC,p3m3,even,ideal,5000,0.405,simple,0,0,100,0,432,p3,m3
BIC,p3m3,uneven,ideal,200,1.5,simple,0,23,77,0,197,p3,m3
BIC,p3m3,uneven,ideal,200,0.9,simple,0,10,90,0,199,p3,m3
BIC,p3m3,uneven,ideal,200,0.405,simple,0,8,92,0,183,p3,m3
BIC,p3m3,uneven,ideal,500,1.5,simple,0,0,100,0,276,p3,m3
BIC,p3m3,uneven,ideal,500,0.9,simple,0,0,100,0,272,p3,m3
BIC,p3m3,uneven,ideal,500,0.405,simple,0,0,100,0,271,p3,m3
BIC,p3m3,uneven,ideal,1000,1.5,simple,0,0,100,0,319,p3,m3
BIC,p3m3,uneven,ideal,1000,0.9,simple,0,0,100,0,328,p3,m3
BIC,p3m3,uneven,ideal,1000,0.405,simple,0,0,100,0,322,p3,m3
BIC,p3m3,uneven,ideal,5000,1.5,simple,0,0,100,0,427,p3,m3
BIC,p3m3,uneven,ideal,5000,0.9,simple,0,0,100,0,424,p3,m3
BIC,p3m3,uneven,ideal,5000,0.405,simple,0,0,100,0,422,p3,m3
CAIC,p3m3,even,ideal,200,1.5,simple,0,41,59,0,171,p3,m3
CAIC,p3m3,even,ideal,200,0.9,simple,0,32,68,0,199,p3,m3
CAIC,p3m3,even,ideal,200,0.405,simple,0,31,69,0,182,p3,m3
CAIC,p3m3,even,ideal,500,1.5,simple,0,0,100,0,263,p3,m3
CAIC,p3m3,even,ideal,500,0.9,simple,0,0,100,0,260,p3,m3
CAIC,p3m3,even,ideal,500,0.405,simple,0,0,100,0,263,p3,m3
CAIC,p3m3,even,ideal,1000,1.5,simple,0,0,100,0,303,p3,m3
CAIC,p3m3,even,ideal,1000,0.9,simple,0,0,100,0,289,p3,m3
CAIC,p3m3,even,ideal,1000,0.405,simple,0,0,100,0,303,p3,m3
CAIC,p3m3,even,ideal,5000,1.5,simple,0,0,100,0,428,p3,m3
CAIC,p3m3,even,ideal,5000,0.9,simple,0,0,100,0,415,p3,m3
CAIC,p3m3,even,ideal,5000,0.405,simple,0,0,100,0,432,p3,m3
CAIC,p3m3,uneven,ideal,200,1.5,simple,0,51,49,0,197,p3,m3
