file,sim_model,N,k,k_split,de,separation,entropy,p,m
p3m3_c2.out,  p3m3,1000,2,even,1.5,ideal ,0.917,  p3,  m3
p3m3_c3.out,  p3m3,1000,3,even,1.5,ideal ,0.895,  p3,  m3
p3m3_c4.out,  p3m3,1000,4,even,1.5,ideal ,0.907,  p3,  m3
p3m3_c5.out,  p3m3,1000,5,even,1.5,ideal ,0.909,  p3,  m3
p3m3_c6.out,  p3m3,1000,6,even,1.5,ideal ,0.907,  p3,  m3
p3m3_c2.out,  p3m3,200,2,even,0.405,ideal ,0.959,  p3,  m3
p3m3_c3.out,  p3m3,200,3,even,0.405,ideal ,0.948,  p3,  m3
p3m3_c4.out,  p3m3,200,4,even,0.405,ideal ,0.955,  p3,  m3
p3m3_c5.out,  p3m3,200,5,even,0.405,ideal ,0.965,  p3,  m3
p3m3_c6.out,  p3m3,200,6,even,0.405,ideal ,0.97,  p3,  m3
p3m3_c2.out,  p3m3,200,2,even,0.9,ideal ,0.959,  p3,  m3
p3m3_c3.out,  p3m3,200,3,even,0.9,ideal ,0.95,  p3,  m3
p3m3_c4.out,  p3m3,200,4,even,0.9,ideal ,0.958,  p3,  m3
p3m3_c5.out,  p3m3,200,5,even,0.9,ideal ,0.971,  p3,  m3
p3m3_c6.out,  p3m3,200,6,even,0.9,ideal ,0.976,  p3,  m3
p3m3_c2.out,  p3m3,200,2,even,1.5,ideal ,0.958,  p3,  m3
p3m3_c3.out,  p3m3,200,3,even,1.5,ideal ,0.948,  p3,  m3
p3m3_c4.out,  p3m3,200,4,even,1.5,ideal ,0.956,  p3,  m3
p3m3_c5.out,  p3m3,200,5,even,1.5,ideal ,0.97,  p3,  m3
p3m3_c6.out,  p3m3,200,6,even,1.5,ideal ,0.978,  p3,  m3
p3m3_c2.out,  p3m3,500,2,even,0.405,ideal ,0.935,  p3,  m3
p3m3_c3.out,  p3m3,500,3,even,0.405,ideal ,0.895,  p3,  m3
p3m3_c4.out,  p3m3,500,4,even,0.405,ideal ,0.915,  p3,  m3
p3m3_c5.out,  p3m3,500,5,even,0.405,ideal ,0.921,  p3,  m3
p3m3_c6.out,  p3m3,500,6,even,0.405,ideal ,0.931,  p3,  m3
p3m3_c2.out,  p3m3,500,2,even,0.9,ideal ,0.935,  p3,  m3
p3m3_c3.out,  p3m3,500,3,even,0.9,ideal ,0.899,  p3,  m3
p3m3_c4.out,  p3m3,500,4,even,0.9,ideal ,0.92,  p3,  m3
p3m3_c5.out,  p3m3,500,5,even,0.9,ideal ,0.923,  p3,  m3
p3m3_c6.out,  p3m3,500,6,even,0.9,ideal ,0.933,  p3,  m3
p3m3_c2.out,  p3m3,500,2,even,1.5,ideal ,0.935,  p3,  m3
p3m3_c3.out,  p3m3,500,3,even,1.5,ideal ,0.9,  p3,  m3
p3m3_c4.out,  p3m3,500,4,even,1.5,ideal ,0.919,  p3,  m3
p3m3_c5.out,  p3m3,500,5,even,1.5,ideal ,0.918,  p3,  m3
p3m3_c6.out,  p3m3,500,6,even,1.5,ideal ,0.921,  p3,  m3
p3m3_c2.out,  p3m3,5000,2,even,0.405,ideal ,0.915,  p3,  m3
p3m3_c3.out,  p3m3,5000,3,even,0.405,ideal ,0.888,  p3,  m3
p3m3_c4.out,  p3m3,5000,4,even,0.405,ideal ,0.908,  p3,  m3
p3m3_c5.out,  p3m3,5000,5,even,0.405,ideal ,0.921,  p3,  m3
p3m3_c6.out,  p3m3,5000,6,even,0.405,ideal ,0.928,  p3,  m3
p3m3_c2.out,  p3m3,5000,2,even,0.9,ideal ,0.914,  p3,  m3
p3m3_c3.out,  p3m3,5000,3,even,0.9,ideal ,0.889,  p3,  m3
p3m3_c4.out,  p3m3,5000,4,even,0.9,ideal ,0.907,  p3,  m3
p3m3_c5.out,  p3m3,5000,5,even,0.9,ideal ,0.919,  p3,  m3
p3m3_c6.out,  p3m3,5000,6,even,0.9,ideal ,0.927,  p3,  m3
p3m3_c2.out,  p3m3,5000,2,even,1.5,ideal ,0.915,  p3,  m3
