file,sim_model,N,k,k_split,de,separation,entropy,p,m
p3m3_c3.out,  p3m3,500,3,uneven,1.5,realistic ,0.771,  p3,  m3
p3m3_c4.out,  p3m3,500,4,uneven,1.5,realistic ,0.848,  p3,  m3
p3m3_c5.out,  p3m3,500,5,uneven,1.5,realistic ,0.849,  p3,  m3
p3m3_c2.out,  p3m3,5000,2,uneven,0.405,realistic ,0.822,  p3,  m3
p3m3_c3.out,  p3m3,5000,3,uneven,0.405,realistic ,0.768,  p3,  m3
p3m3_c4.out,  p3m3,5000,4,uneven,0.405,realistic ,0.826,  p3,  m3
p3m3_c5.out,  p3m3,5000,5,uneven,0.405,realistic ,0.783,  p3,  m3
p3m3_c2.out,  p3m3,5000,2,uneven,0.9,realistic ,0.818,  p3,  m3
p3m3_c3.out,  p3m3,5000,3,uneven,0.9,realistic ,0.766,  p3,  m3
p3m3_c4.out,  p3m3,5000,4,uneven,0.9,realistic ,0.819,  p3,  m3
p3m3_c5.out,  p3m3,5000,5,uneven,0.9,realistic ,0.841,  p3,  m3
p3m3_c2.out,  p3m3,5000,2,uneven,1.5,realistic ,0.813,  p3,  m3
p3m3_c3.out,  p3m3,5000,3,uneven,1.5,realistic ,0.758,  p3,  m3
p3m3_c4.out,  p3m3,5000,4,uneven,1.5,realistic ,0.813,  p3,  m3
p3m3_c5.out,  p3m3,5000,5,uneven,1.5,realistic ,0.836,  p3,  m3
p4m1_c2.out,  p4m1,1000,2,even,0.405,realistic ,0.807,  p4,  m1
p4m1_c3.out,  p4m1,1000,3,even,0.405,realistic ,0.887,  p4,  m1
p4m1_c4.out,  p4m1,1000,4,even,0.405,realistic ,0.798,  p4,  m1
p4m1_c5.out,  p4m1,1000,5,even,0.405,realistic ,0.814,  p4,  m1
p4m1_c2.out,  p4m1,1000,2,even,0.9,realistic ,0.795,  p4,  m1
p4m1_c3.out,  p4m1,1000,3,even,0.9,realistic ,0.797,  p4,  m1
p4m1_c4.out,  p4m1,1000,4,even,0.9,realistic ,0.746,  p4,  m1
p4m1_c5.out,  p4m1,1000,5,even,0.9,realistic ,0.793,  p4,  m1
p4m1_c2.out,  p4m1,1000,2,even,1.5,realistic ,0.771,  p4,  m1
